,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,x_jitter,y_jitter
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,0.66971725,1.345802170072687,-0.408110648
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.67602936,1.0924351796384355,-0.192695188
2,One Dime,0,0,0,0,0,0,0,0,0,0.011,0.116,0.32261086,-0.062581307,-0.278803777
3,One Quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,0.46116505,-0.00502375,-0.238118087
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,0.52341465,-0.575788741,-0.697957718
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,0.50347546,1.1349739997746366,-0.081092154
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,0.56914547,1.4310268464680862,-0.335163317
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,0.23417824,-0.190029151,0.6472375429514735
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,0.38010963,-0.438677239,0.43112839133228914
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,0.34517681,-0.2104031,-0.653789695
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.38975037,1.1296937314471989,-0.279565252
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.36017628,-0.885659856,0.034423115
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,0.24524988,-0.910023643,0.22386541577949218
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.42272076,-0.962683749,-0.077324379
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,0.39460556,-0.524184496,-1.035968838
15,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,0.43088924,-0.853089183,0.18755521336516717
16,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,0.39185505,-0.651242805,-1.015277717
17,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,0.46783348,-1.116038974,-0.121134269
18,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,0.5711974,-0.927743936,0.15787382272429612
19,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,0.34158958,-0.428341252,0.6277376373515514
20,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,0.5141243,-0.786931258,0.22170127572294157
21,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,0.42178772,-0.991378027,0.1351420965436618
22,Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,0.55375454,0.19435277938702233,0.7268535822603029
23,Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,0.62284481,1.0786102519182852,-0.210476206
24,Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.56490501,0.8090404843551854,-0.046815251
25,Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.59236122,0.8954418164050625,-0.181765564
26,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,0.28127439,-0.885586716,-0.157349523
27,Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,0.5721925,0.15596004191737395,0.9282629820642173
28,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,0.767686,1.2049831668082074,-0.270790644
29,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,0.41389557,-0.548437195,-0.519801833
30,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,0.39141056,-0.685713077,-0.935448621
31,Lifesavers Big Ring Gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,0.52911392,-0.428776379,-0.56435868
32,Peanut Butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,0.7146505,0.42528772305295837,0.9792774353182959
33,M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,0.66574585,0.1535118750256222,0.8463967113866225
34,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,0.46411716,-0.913369305,0.15405133556091233
35,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,0.55064072,0.38214698907333955,0.711326873
36,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,0.73099556,1.3388095964510074,-0.423795427
37,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,0.60800701,1.3128542054119403,-0.477534424
38,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,0.6435334,1.216743787654815,-0.3972355
39,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,0.47829754,0.9328500842767056,0.076712867
40,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,0.54526451,1.2495939237071707,-0.095697582
41,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,0.55354046,-1.12798823,-0.122901745
42,Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,0.70735641,1.1846390352164304,0.14040099445434817
43,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,0.6647068,1.0415448661860556,-0.342807661
44,Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,0.22445341,-1.018381281,0.2384670790409653
45,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,0.394468,-0.858999698,0.3408234111049605
46,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,0.46296597,0.8002761212158905,-0.338379878
47,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,0.69483788,0.3698143753968393,0.8218305333721591
48,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,0.37722336,-0.295258607,0.4842079561864488
49,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,0.41265511,-1.225076218,-0.112686583
50,Red Vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,0.37348522,-0.87021384,0.18465676208093781
51,Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,0.81866257,0.767525397,0.3428676768179524
52,Reese's Peanut Butter Cups,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,0.8418029,0.8981006204097408,0.36007445233403834
53,Reese's Pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,0.7343499,0.14794936242140116,0.6734864678016115
54,Reese's Stuffed with Pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,0.72887901,0.7532944233549771,0.30057296313407983
55,Ring Pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,0.35290756,-0.666383915,-0.977579379
56,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,0.65716286,0.22910580430048247,0.5699494831721723
57,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,0.29703691,-0.444722281,0.26443688585886116
58,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,0.42849144,-0.933074267,-0.316706793
59,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,0.34722,0.3928784730201633,0.7835193445812827
60,Skittles,0,1,0,0,0,0,0,0,1,0.94099998,0.22,0.6308514,-0.786474129,0.12495589605551735
61,Skittles Wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,0.55103695,-0.992088301,0.1162186035378617
62,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,0.37887188,0.1533142212112706,0.7222865176777601
63,Smarties,0,1,0,0,0,0,1,0,1,0.26699999,0.116,0.45995827,-1.004497849,-0.174859662
64,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,0.76673782,1.5359911754150557,-0.209559704
65,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,0.59529251,1.4424600527675475,-0.159047181
66,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,0.59863998,-0.963716454,0.047869291
67,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,0.52825947,-0.864980123,0.080105516
68,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,0.67037628,-0.885047031,0.1946204551438144
69,Strawberry Bon Bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,0.34578991,-1.248232745,-0.161648178
70,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,0.3343755,-0.229575003,0.340547594
71,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,0.32230995,0.3176135267015315,-0.361944725
72,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,0.27303865,-0.433870414,-0.469151394
73,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,0.54861111,-0.742830519,0.09718008
74,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,0.48982651,-0.323943743,-0.775522036
75,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,0.43068897,0.6004058449445249,0.24970342479256455
76,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,0.45736748,0.15979614672341544,0.8171227480137785
77,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,0.49653503,0.8294663635334827,-0.203898104
78,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,0.47173229,-0.590332111,0.19654971124011825
79,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,0.81642914,1.1560454543040086,-0.205332463
80,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,0.45466282,-0.584612464,-0.606273486
81,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,0.39011898,-0.767399407,-0.992233665
82,Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,0.44375519,-0.956534369,0.019376413721387986
83,Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,0.41904308,0.14922088747717496,-0.599255229
84,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,0.49524113,0.4020427143430625,0.6489783307746688